Tahun,Perusahaan,Lokasi sekarang,Bidang,Keterangan,Rujukan
1933,Delta Djakarta,Jakarta,Bir,,[66]
1933,Panjebar Semangat,"Surabaya, Jawa Timur",Media,,[67]
1933,Unilever Indonesia,Jakarta,Produk konsumen,Anak perusahaan Unilever.,[68]
1935,Bhineka Djaja,"Denpasar, Bali",Kedai kopi,,[69]
1935,Djoen Lama,"Yogyakarta, DI Yogyakarta",Makanan,,[70]
1935,Warung Kopi Djaja,"Pontianak, Kalimantan Barat",Kedai kopi,,[71]
1936,Maison Weiner,Jakarta,Makanan,,[72]
1937,LKBN Antara,Jakarta,Media,,[73]
1937,Argus Optik,"Yogyakarta, DI Yogyakarta",Optik,,[74]
1937,NPM,"Padang Panjang, Sumatera Barat",Transportasi,Perusahaan otobus tertua di Indonesia.,[75]
1938,Sinar Mas,Jakarta,,,
1938,Tong Tji,"Tegal, Jawa Tengah",Minuman,,[76]
1938,Tung Tau,"Bangka, Kepulauan Bangka Belitung",Kedai kopi,,[77]
1939,Soto Triwindu,"Surakarta, Jawa Tengah",Makanan,,[78]
1939,Toko Sedap Djaja,Jakarta,Minuman,,[79]
1939,Wajik Week,"Magelang, Jawa Tengah",Makanan,,[80]
1940,Lauw Bakery,Jakarta,Makanan,,[16][81]
1940,Maja Menjangan,"Majalengka, Jawa Barat",Kecap,,[10]
1940,Rekso Group,Jakarta,Konglomerasi,"Termasuk Sinar Sosro, anak perusahaan Rekso Group.",[82]
1940,Toko Kopi Rasa Sedap,"Jambi, Jambi",Kedai kopi,,[83]
1941,Bank OCBC NISP,Jakarta,Bank,Anak perusahaan OCBC Bank sejak dekade 2000-an.,[84]
1942,2 Tang,"Tegal, Jawa Tengah",Minuman,Diproduksi oleh CV Duta Java Tea Industri.,[85]
1942,Warung Suka Hati,"Pontianak, Kalimantan Barat",Makanan,,[71]
1942,Taman Batik Terang Bulan,"Yogyakarta, DI Yogyakarta",Ritel,,[86][87]
1942,Teh Gopek,"Tegal, Jawa Tengah",Minuman,,[88]
1943,Kong Djie,"Belitung, Kepulauan Bangka Belitung",Kedai kopi,,[89]
